record_date,current_month_gross_rcpt_amt,current_month_gross_outly_amt,current_month_dfct_sur_amt,record_date_new_yr,fisical_year
2022-09-30,4896119043921.0,6271507596876.0,1375388552955.0,2016-10-31,FY 2022
2021-09-30,4045978858727.41,6818157647016.83,2772178788289.42,2017-10-31,FY 2021
2020-09-30,3419955005765.34,6551872254653.64,3131917248888.3,2018-10-31,FY 2020
2019-09-30,3462195610149.2,4446583636480.58,984388026331.38,2019-10-31,FY 2019
2018-09-30,3328745244718.2,4107741496584.31,778996251866.11,2020-10-31,FY 2018
2017-09-30,3314893904524.18,3980605417586.44,665711513062.26,2021-10-31,FY 2017
2016-09-30,3266688370973.35,3854100140609.65,587411769636.3,2022-10-31,FY 2016
